date;value;value_filt;res
2013-12-31;3417.1;3451.526705960451;-40.5
2014-01-31;3282.8;3399.0040072925162;916.5000000000005
2014-02-28;3885.9;3875.0366096651696;677.0999999999995
2014-03-31;4699.4;4740.81400079024;1239.5
2014-04-30;4270.6;3544.483326741771;10578.3
2014-05-31;16828.5;12562.572295328348;378.2999999999993
2014-06-30;17033.0;17112.426104130813;292.6000000000022
2014-07-31;17600.8;18225.2832623258;1518.7999999999993
2014-08-31;17778.3;15360.320223820852;-58.60000000000218
2014-09-30;5860.2;14050.010749060873;-623.3999999999978
2014-10-31;16175.6;16516.10474019857;-1006.0
2014-11-30;15989.5;16049.820836225974;-279.5
2014-12-31;14423.9;15296.159764949341;401.7000000000007
2015-01-31;12979.6;13354.592941064164;-3569.2000000000007
2015-02-28;13207.8;13367.920312312533;-9.700000000000728
2015-03-31;13536.5;13668.557754370851;-124.39999999999964
2015-04-30;13720.3;14186.726898989353;754.2999999999993
2015-05-31;14213.2;14502.245674238302;812.3999999999996
2015-06-30;15388.2;15448.862947358217;1930.2000000000007
2015-07-31;16675.7;17014.62617097054;336.09999999999854
2015-08-31;16544.6;16547.405218120333;-911.2999999999993
2015-09-30;16729.0;16572.386263492943;600.7000000000007
2015-10-31;17028.9;17243.099466909396;715.5
2015-11-30;17333.1;17152.425792775834;-229.59999999999854
2015-12-31;17757.4;17829.249824090493;4934.899999999998
2016-01-31;17418.3;17672.95402860271;-4450.700000000001
2016-02-29;17690.7;17725.163012438312;-550.8999999999978
2016-03-31;17562.5;18198.896584263723;700.0999999999985
2016-04-30;19040.6;18865.699193841872;2748.5
2016-05-31;20469.0;20903.80400631287;2050.7999999999993
2016-06-30;23058.5;23498.270427687403;3761.800000000003
2016-07-31;25402.7;25808.210389039894;-542.7000000000007
2016-08-31;24478.2;24209.5239329141;-1690.2000000000007
2016-09-30;24548.6;24593.93050908543;1301.4000000000015
2016-10-31;25143.1;25660.463238324235;1260.8999999999978
2016-11-30;26901.3;26891.600890917405;1438.2000000000007
2016-12-31;28086.0;28042.114149931385;7579.0999999999985
2017-01-31;30201.8;30246.025713747702;-5072.699999999997
2017-02-28;29345.2;30128.95941146077;-1011.3000000000029
2017-03-31;30173.9;30630.187279206573;1357.0
2017-04-30;31280.1;31296.81786311445;2898.9000000000015
2017-05-31;33810.1;34481.71269914728;1176.199999999997
2017-06-30;35553.6;35803.069768988425;3505.4000000000015
2017-07-31;40147.1;39727.44195058838;2340.9000000000015
2017-08-31;38077.4;37617.18587269501;-3005.5
2017-09-30;37316.9;37316.64663036734;593.6999999999971
2017-10-31;33083.3;34563.91999619045;-1162.0999999999985
2017-11-30;35685.0;36294.30873236734;1094.5
2017-12-31;39013.6;38480.859341968804;12477.0
2018-01-31;40720.0;40785.77524739117;-10540.900000000001
2018-02-28;39951.1;41056.60605391775;-173.39999999999418
2018-03-31;38135.9;39841.00907275931;199.1999999999971
2018-04-30;37266.5;37478.5392080571;2798.0999999999985
2018-05-31;39334.5;42556.17587427695;1768.2000000000044
2018-06-30;46328.9;47485.316482803086;3949.0999999999985
2018-07-31;48060.8;48836.50853534926;-373.90000000000146
2018-08-31;46600.7;46626.30320392104;-1186.699999999997
2018-09-30;46587.1;46965.080841635936;793.8999999999942
2018-10-31;49062.6;48972.63551917582;6008.5
2018-11-30;52898.4;53078.34346188618;745.4000000000015
2018-12-31;55066.1;54239.731439727555;14810.900000000001
2019-01-31;55965.2;56318.291016609226;-13888.599999999999
2019-02-28;59412.9;59614.618393660254;3652.4000000000015
2019-03-31;58800.1;60031.99679982605;726.2999999999956
2019-04-30;60441.7;60971.41434161941;130.09999999999854
2019-05-31;59462.4;60613.341997796466;1005.7000000000044
2019-06-30;61914.9;62341.01057447028;2115.0
2019-07-31;62498.2;62343.46893040435;-732.5999999999985
2019-08-31;59314.6;59449.45043647443;-2139.100000000006
2019-09-30;58806.3;59834.63632237413;159.20000000000437
2019-10-31;61596.1;61451.675523265156;10990.499999999993
