bodytype,brand,mileage,color,engine,complectation,tax,transmission,drive,wheel,owners,customs,pts,year,price
,,,,,,,,,,,,,,
Кузовседан,Audi A6 II (C5) Рестайлинг,Пробег241 000 км,Цветчёрный,Двигатель2.7 л / 250 л.с. / Бензин,,Налог18 750 ₽ / год,Коробкаавтоматическая,Приводполный,РульЛевый,Владельцы3 или более,ТаможняРастаможен,ПТСОригинал,год выпуска2004,340 000 ₽Хорошая ценаСмотреть статистику цен
Кузоввнедорожник 5 дв.,Audi Q7 II (4M),Пробег201 485 км,Цветсерый,Двигатель3.0 л / 249 л.с. / Дизель,Комплектация32 опции,Налог18 675 ₽ / год,Коробкаавтоматическая,Приводполный,РульЛевый,Владельцы2 владельца,ТаможняРастаможен,ПТСОригинал,год выпуска2016,3 400 000 ₽Хорошая ценаот 3 196 000 ₽ со скидками
Кузоввнедорожник 5 дв.,Audi Q7 I (4L),Пробег164 000 км,Цветбелый,Двигатель5.9 л / 500 л.с. / Дизель,Комплектация42 опции,Налог75 000 ₽ / год,Коробкаавтоматическая,Приводполный,РульЛевый,Владельцы2 владельца,ТаможняРастаможен,ПТСОригинал,год выпуска2008,1 890 000 ₽Смотреть статистику цен
Кузовседан,Audi 80 IV (B3),Пробег325 000 км,Цветсиний,Двигатель1.8 л / 75 л.с. / Бензин,,Налог900 ₽ / год,Коробкамеханическая,Приводпередний,РульЛевый,Владельцы2 владельца,ТаможняРастаможен,ПТСОригинал,год выпуска1987,110 000 ₽Смотреть статистику цен
Кузовседан,Audi A6 55 TFSI V (C8),Пробег7 200 км,Цветбелый,Двигатель3.0 л / 340 л.с. / Бензин,Комплектация31 опция,Налог51 000 ₽ / год,Коробкароботизированная,Приводполный,РульЛевый,Владельцы1 владелец,ТаможняРастаможен,ПТСОригинал,год выпуска2018,4 799 000 ₽Хорошая ценаСмотреть статистику цен
Кузовседан,Audi 100 III (C3),Пробег200 000 км,Цветкрасный,Двигатель1.8 л / 90 л.с. / Бензин,Комплектация5 опций,Налог900 ₽ / год,Коробкамеханическая,Приводпередний,РульЛевый,Владельцы3 или более,ТаможняРастаможен,ПТСОригинал,год выпуска1987,75 000 ₽Смотреть статистику цен
Кузовседан,Audi A4 III (B7),Пробег222 007 км,Цветсерый,Двигатель2.0 л / 130 л.с. / Бензин,Комплектация2 опции,Налог4 420 ₽ / год,Коробкавариатор,Приводпередний,РульЛевый,Владельцы3 или более,ТаможняРастаможен,ПТСОригинал,год выпуска2007,350 000 ₽Отличная ценаСмотреть статистику цен
Кузоввнедорожник 5 дв.,Audi Q3 I (8U),Пробег190 000 км,Цветсиний,Двигатель2.0 л / 170 л.с. / Бензин,,Налог4 930 ₽ / год,Коробкароботизированная,Приводполный,РульЛевый,Владельцы2 владельца,ТаможняРастаможен,ПТСОригинал,год выпуска2013,1 220 000 ₽Смотреть статистику цен
Кузовкабриолет,Audi TT I (8N),Пробег197 500 км,Цветсерый,Двигатель1.8 л / 225 л.с. / Бензин,,Налог15 975 ₽ / год,Коробкамеханическая,Приводполный,РульЛевый,Владельцы3 или более,ТаможняРастаможен,ПТСДубликат,год выпуска2000,570 000 ₽Хорошая ценаСмотреть статистику цен
Кузовлифтбек,Audi A7 50 TDI II (4K),Пробег73 000 км,Цветсерый,Двигатель3.0 л / 286 л.с. / Дизель,Комплектация50 опций,Налог42 900 ₽ / год,Коробкаавтоматическая,Приводполный,РульЛевый,Владельцы1 владелец,ТаможняРастаможен,ПТСОригинал,год выпуска2018,4 850 000 ₽Смотреть статистику цен
Кузовседан,Audi A3 III (8V) Рестайлинг,Пробег43 238 км,Цветбелый,Двигатель1.4 л / 150 л.с. / Бензин,Комплектация34 опции,Налог5 250 ₽ / год,Коробкароботизированная,Приводпередний,РульЛевый,Владельцы2 владельца,ТаможняРастаможен,ПТСОригинал,год выпуска2019,2 363 000 ₽от 2 313 000 ₽ со скидками
Кузовседан,Audi A6 II (C5) Рестайлинг,Пробег298 000 км,Цветчёрный,Двигатель2.7 л / 250 л.с. / Бензин,Комплектация42 опции,Налог18 750 ₽ / год,Коробкаавтоматическая,Приводполный,РульЛевый,Владельцы2 владельца,ТаможняРастаможен,ПТСОригинал,год выпуска2002,350 000 ₽Смотреть статистику цен
Кузоввнедорожник 5 дв.,Audi Q7 45 TDI II (4M) Рестайлинг,Пробег18 000 км,Цветбелый,Двигатель3.0 л / 249 л.с. / Дизель,КомплектацияSport 45 TDI quattro tiptronic,Налог20 543 ₽ / год,Коробкаавтоматическая,Приводполный,РульЛевый,Владельцы1 владелец,ТаможняРастаможен,ПТСОригинал,год выпуска2021,9 100 000 ₽Смотреть статистику цен
Кузовседан,Audi A6 I (C4),Пробег299 500 км,Цветбелый,Двигатель1.8 л / 125 л.с. / Бензин,,Налог3 125 ₽ / год,Коробкаавтоматическая,Приводпередний,РульЛевый,Владельцы1 владелец,ТаможняРастаможен,ПТСДубликат,год выпуска1997,250 000 ₽Смотреть статистику цен
Кузовседан,Audi 100 IV (C4),Пробег335 500 км,Цветсеребристый,Двигатель2.3 л / 133 л.с. / Бензин,Комплектация7 опций,Налог3 325 ₽ / год,Коробкамеханическая,Приводпередний,РульЛевый,Владельцы3 или более,ТаможняРастаможен,ПТСДубликат,год выпуска1993,120 000 ₽Смотреть статистику цен
Кузовлифтбек,Audi A7 S-tronic I (4G),Пробег97 000 км,Цветчёрный,Двигатель3.0 л / 245 л.с. / Дизель,КомплектацияБазовая,Налог18 375 ₽ / год,Коробкароботизированная,Приводполный,РульЛевый,Владельцы2 владельца,ТаможняРастаможен,ПТСОригинал,год выпуска2014,2 329 000 ₽Смотреть статистику цен
Кузоввнедорожник 5 дв.,Audi Q5 I (8R) Рестайлинг,Пробег75 770 км,Цветчёрный,Двигатель2.0 л / 225 л.с. / Бензин,Комплектация26 опций,Налог14 625 ₽ / год,Коробкаавтоматическая,Приводполный,РульЛевый,Владельцы2 владельца,ТаможняРастаможен,ПТСОригинал,год выпуска2015,1 998 700 ₽Хорошая ценаот 1 878 700 ₽ со скидками
Кузовседан,Audi A6 III (C6),Пробег350 000 км,Цветчёрный,Двигатель2.4 л / 177 л.с. / Бензин,,Налог5 133 ₽ / год,Коробкамеханическая,Приводполный,РульЛевый,Владельцы3 или более,ТаможняРастаможен,ПТСОригинал,год выпуска2006,665 000 ₽Смотреть статистику цен
Кузовседан,Audi A6 45 TFSI V (C8),Пробег84 950 км,Цветсерый,Двигатель2.0 л / 245 л.с. / Бензин,Комплектация45 TFSI quattro S tronic,Налог18 375 ₽ / год,Коробкароботизированная,Приводполный,РульЛевый,Владельцы2 владельца,ТаможняРастаможен,ПТСОригинал,год выпуска2019,3 379 000 ₽Смотреть статистику цен
Кузовседан,Audi A4 IV (B8) Рестайлинг,Пробег113 190 км,Цветсерый,Двигатель1.8 л / 170 л.с. / Бензин,КомплектацияComfort,Налог8 500 ₽ / год,Коробкавариатор,Приводпередний,РульЛевый,Владельцы3 или более,ТаможняРастаможен,ПТСДубликат,год выпуска2015,1 400 000 ₽Хорошая ценаот 1 250 000 ₽ со скидками
Кузовседан,Audi A6 45 TFSI V (C8),Пробег118 252 км,Цветчёрный,Двигатель2.0 л / 245 л.с. / Бензин,КомплектацияDesign 45 TFSI quattro S tronic,Налог18 375 ₽ / год,Коробкароботизированная,Приводполный,РульЛевый,Владельцы2 владельца,ТаможняРастаможен,ПТСОригинал,год выпуска2019,3 379 000 ₽Смотреть статистику цен
Кузовседан,Audi 80 IV (B3),Пробег286 000 км,Цветсерый,Двигатель2.0 л / 112 л.с. / Бензин,,Налог2 800 ₽ / год,Коробкамеханическая,Приводпередний,РульЛевый,Владельцы3 или более,ТаможняРастаможен,ПТСОригинал,год выпуска1991,38 000 ₽Смотреть статистику цен
Кузовкупе,Audi TT III (8S),Пробег31 089 км,Цветбелый,Двигатель2.0 л / 230 л.с. / Бензин,Комплектация32 опции,Налог17 250 ₽ / год,Коробкароботизированная,Приводполный,РульЛевый,Владельцы2 владельца,ТаможняРастаможен,ПТСОригинал,год выпуска2018,3 699 000 ₽Смотреть статистику цен
Кузовлифтбек,Audi A7 I (4G),Пробег128 746 км,Цветбежевый,Двигатель3.0 л / 310 л.с. / Бензин,Комплектация51 опция,Налог46 500 ₽ / год,Коробкароботизированная,Приводполный,РульЛевый,Владельцы3 или более,ТаможняРастаможен,ПТСОригинал,год выпуска2012,1 650 000 ₽Отличная ценаСмотреть статистику цен
